Object 1,Object 2,Question,Best Answer,Answers,gpt,cam,template
microsoft,sony,which next-gen console is the best NITENDO SONYS  PS3 - MICROSOFT XBOX 360?,How can you even ask this question yet? Only the Xbox 360 is out at the moment and that hasn't even been tested by gamers enough to see truely how good or rubbish it is. You need to ask the question again when all three systems are out!,"[""How can you even ask this question yet? Only the Xbox 360 is out at the moment and that hasn't even been tested by gamers enough to see truely how good or rubbish it is. You need to ask the question again when all three systems are out!"", ""How can you even ask this question yet? Only the Xbox 360 is out at the moment and that hasn't even been tested by gamers enough to see truely how good or rubbish it is. You need to ask the question again when all three systems are out!"", ""The story I keep hearing is that Nintendo's Revolution will play all the old Nintendo games from most of their different consoles.  For me, that sells it more than anything.  Being able to play Super Mario 3, then go to Super Mario 64, then go to Need for Speed Underground all on the same box would be awesome."", ""They all have their strengths and weeknesses.  Its really more or less a view of personal choice.  More then likely people will have multiple next generation consoles when they can afford it (400 dollars for one, 400 dollars for another, with the Nitendo being the cheapest but mostly being considered too kidish based to many).  They all have backwards compatibility in a way, Xbox will have a emulator, Ps3 will just have backwards capatibility from the get go, and even Nitendo I believe.  What it comes down to though is the games, which is why people will own many console systems in the future.  The first Xbox may of been better with graphics, but it wasn't enough to lure everybody from the Ps2 simply because the Ps2 had some damn awesome games.  We'll see how the games fan out, 18 games for the Xbox 360 /NOW/ isn't enough to go crazy over.  Save your money until you can tell which is better by who has the best games that you absolutely must have."", ""I don't think anyone can really that answer yet since all we have seen is the XBOX 360.  It also depends on what you look for in a console and what type of games you like.  The XBOX 360 seems to be heavy on First Person shooters and racing games.  While the XBOX 360 is powerful and has a 3 core processor, Sony keeps hyping its own Cell processor and 512MB custom GPU from nVidia. As the XBOX 360 and PS3 are going head to head it will be hard to make a final decision on this until both consoles are seen side by side but there is still no good way to directly compare them. The Nintendo Revolution has less horsepower than both the PS3 and XBOX 360 but Nintendo is hoping to wow you with their unique controller and games.  The Revolution is not hyping HD content as is the PS3 and Nintendo says the Revolution will have approximately double the specs of the GameCube. While the XBOX 360 and PS3 are around $400 or more the Revolution will be $99 to $149 at launch.  I don't care what walk of life you come from, $149 (despite the lack of power) is an excellent price considering the premiums of the PS3 and XBOX 360. You will have the PS3 only camps and the XBOX 360 camps and the Revolution camps.  Some will want both the 360 and PS3, some will only want the Revolution and some will want all three. In the end it comes down to 'which console meets your demands'.  I fear that Sony is doing what they did with the PS2 and is simply hyping it way too much setting the stage for disappointed gamers. If you want my opinion on the matter, I am leaning towards the XBOX 360 but I am also keeping one eye on the PS3 but I am definitely going to buy a Revolution.""]",We can't recognize objects for comparision,We can't recognize objects for comparision,We can't recognize objects for comparision
microsoft,sony,"wich is better, the Sony play station or the Microsoft XBOX?","For a wide selection, choose PS2. However, XBOX games tend to be of higher graphical quality and performance with minimal loading times in comparison to their counterparts or similar games on PS2. Also, the XBOX online service XBOX Live is far more immersive as a community and tends to lag far less than PS2 online games, since the service is a broadband only community with a full network of proprietary servers. I personally prefer XBOX for its 
superior selection of first person, racing, and online competetive games.

Examples:

FPS: Halo/Halo2, the Rainbow Six series, Half-Life 2

Racing: Project Gotham Racing 1&2, Forza Motorsport, Need for Speed Most Wanted

Online Competetive (also have decent single player experience): Conker: Live and Reloaded, Phantom Dust, most Electronic Arts or 2k/ESPN sports

*Most Wanted and Rainbow six have installments on both systems, but the XBOX versions perform better.","['For a wide selection, choose PS2. However, XBOX games tend to be of higher graphical quality and performance with minimal loading times in comparison to their counterparts or similar games on PS2. Also, the XBOX online service XBOX Live is far more immersive as a community and tends to lag far less than PS2 online games, since the service is a broadband only community with a full network of proprietary servers. I personally prefer XBOX for its \nsuperior selection of first person, racing, and online competetive games.\n\nExamples:\n\nFPS: Halo/Halo2, the Rainbow Six series, Half-Life 2\n\nRacing: Project Gotham Racing 1&2, Forza Motorsport, Need for Speed Most Wanted\n\nOnline Competetive (also have decent single player experience): Conker: Live and Reloaded, Phantom Dust, most Electronic Arts or 2k/ESPN sports\n\n*Most Wanted and Rainbow six have installments on both systems, but the XBOX versions perform better.', 'For a wide selection, choose PS2. However, XBOX games tend to be of higher graphical quality and performance with minimal loading times in comparison to their counterparts or similar games on PS2. Also, the XBOX online service XBOX Live is far more immersive as a community and tends to lag far less than PS2 online games, since the service is a broadband only community with a full network of proprietary servers. I personally prefer XBOX for its  superior selection of first person, racing, and online competetive games. Examples: FPS: Halo/Halo2, the Rainbow Six series, Half-Life 2 Racing: Project Gotham Racing 1&2, Forza Motorsport, Need for Speed Most Wanted Online Competetive (also have decent single player experience): Conker: Live and Reloaded, Phantom Dust, most Electronic Arts or 2k/ESPN sports *Most Wanted and Rainbow six have installments on both systems, but the XBOX versions perform better.', 'sony playstation daaaaaaaaaaaa', 'SONY PLAYSTAISION', 'SONY PLAY STATION', 'X-box, hands down', ""XBOX.  Sony fanboys don't know any better. If you want real gaming, and not pixel gaming. XBOX Quality games: XBOX Library: Sony- but who cares if you have thousands games if most of them are also on the XBOX; with them looking and playing better on M$'s machine.  Silly Sony Fanboys...""]",We can't recognize objects for comparision,We can't recognize objects for comparision,We can't recognize objects for comparision
microsoft,sony,Who do you think will win the next-gen war Sony(PS3) or Microsoft(Xbox 360) or Nintendo(revolution)?,PS3 hands down,"['PS3 hands down', 'PS3 hands down', ""I think Sony will rule for a while...I was always a Nintendo fan until it came down to GameCube/PS2/Xbox...I was swayed to the PS2 due to the fact that the GC didn't play DVD's. Based on the specs I've seen, PS3."", 'The revolution will win. Because it will have a game library with nes, snes, N64 games and posibly will have segas games too.  Also because of the controler, Sony and Microsoft are afraid of chainge while nintendo is not, with the controler you can shoot better,  slash better and many other things.', 'I think that Microsoft will win actually, The only good game i know of for PS3 is the new Metal Gear Solid, Xbox360 will have PDZ and Call of Duty, plus KOTOR 3, Jade Empire 2 and Fable 2.  Another couple of games that might be good are Lost Odyssey and Blue Dragon.  The only thing Sony might have is the Final Fantasy series and with FFXI coming out on XBox, who knows? Maybe Square-Enix will start making their games multi-platformed.', 'Sony PS3', ""I don't care who wins what I'll be buying a revolution. Nintendo has a far superior  product. Sony and Microsoft have no problems with publishing games about killing everyone and kids now a days like that. Nintendo doesn't thats why they are falling behind."", ""I don't care, but I know the Revolution won't because of the controller.""]",We can't recognize objects for comparision,We can't recognize objects for comparision,We can't recognize objects for comparision
microsoft,sony,Which do you prefer Sony's PS3 or Microsoft's Xbox 360?,"I'll comment on PS3 when it's out but I am looking forward to it (Metal Gear Solid 4! Devil May Cry 4! So many more!).  I own a 360 and so far I'm not impressed.  If you love Racing, Sports and First Person shooters that look great get a 360 cause you'll love it.

Sadly for me I don't play any of the above genres and thus I own 1 game (Dead Or Alive 4)","[""I'll comment on PS3 when it's out but I am looking forward to it (Metal Gear Solid 4! Devil May Cry 4! So many more!).  I own a 360 and so far I'm not impressed.  If you love Racing, Sports and First Person shooters that look great get a 360 cause you'll love it.\n\nSadly for me I don't play any of the above genres and thus I own 1 game (Dead Or Alive 4)"", ""I'll comment on PS3 when it's out but I am looking forward to it (Metal Gear Solid 4! Devil May Cry 4! So many more!).  I own a 360 and so far I'm not impressed.  If you love Racing, Sports and First Person shooters that look great get a 360 cause you'll love it. Sadly for me I don't play any of the above genres and thus I own 1 game (Dead Or Alive 4)"", 'The Xbox 360 is the one I prefer becuase it has been released and I can play it. We are not even sure if the PS3 will be released or if it will be a good system. It is just all talk. You guys that are chasing the PS3 will increase and get your hopes high and when it eventually comes out and it is not good, you will start to complain and whine like babies without milk. You guys should cool down and live in the present and not in the future or past. Play the games infront of you now before dreaming of playing future games. As for me and as of now, the Xbox 360 is a solid choice for me. I hope you guys see the point that I am trying to stress here.', 'ps3 i want one real bad the 360 sucks', ""Both of course!!!  Although I'm a full time PC gamer, just stay away from crappy game titles.  Betcha never heard of Eggs of Steel...  here's a good example below"", '360 because i think that the graphics are awesome and because i can accutally play it .', 'Actually i prefer XBOX 360 because its game titles. But PS3 has a lot more speed and better graphic so if i gonna buy a console it would be PS3', 'The 360 for price and availability, yuo know what it is about the PS3 is still shaky', 'PS3! cant wait for it to be released', 'I prefer the 360 at the moment, because I can actually use it.']","microsoft has undeniable advantages. They are simpler, friendlier and easier to use.","microsoft has undeniable advantages. They are simpler, friendlier and easier to use.","microsoft has undeniable advantages. They are simpler, friendlier and easier to use."
microsoft,sony,PS3 or X-BOX 360? We all know that these are the latest platforms by SONY and MICROSOFT. But which is better?,"I'm sure you knew when you posted this that we will not know untill the PS3 is out.
Sony will have to really throw some bombs at E3 this year, last years E3 left me a little disapointed.
This is what they have to say this year.

 ""We have always said that the PlayStation 3 will be playable at this year's E3 and that hasn't changed""
 ""We have a three platform showing this year and of course the PlayStation 2, which is now more popular than ever, will share space with the PSP and the PlayStation 3.""
-Sony's Ryan Bowling

Xbox 360 is a great console and with Xbox Live their is no way that the 360 will be Dreamcasted with their earley release.

So pretty much I think it all falls down to the on-line play.

A recent article from PSM confirms that Sony is really making a legitimate attempt at taking on Microsoft’s Xbox Live system.
PSM reports that you will be able to see recorded gameplay footage  which includes your achievements and in-game highlights  you will also be able to make your own video blog. This will be recorded with an Eye-Toy like device and can be shared with your friends. Your video blog will also likely support the PSP’s Eye-Toy function, allowing you to upload videos and pictures directly to your PS3.

So if this is true Xbox may have some serious competition.

Me pesonaly, I think the PS3 will be the best.

-------- Edit -----------

NinjaPirate, rumor had it that the PS3 would be arround 610 and 730 dollars.

Sony has now released a statement saying that it would be arround $500, and with the high-definition and Blu-ray disc functionality that would be a good price.

They jumped on this rumor fast so their may not be as much truth to it as we think.
That was a good point NinjaPirate.","['I\'m sure you knew when you posted this that we will not know untill the PS3 is out.\nSony will have to really throw some bombs at E3 this year, last years E3 left me a little disapointed.\nThis is what they have to say this year.\n\n ""We have always said that the PlayStation 3 will be playable at this year\'s E3 and that hasn\'t changed""\n ""We have a three platform showing this year and of course the PlayStation 2, which is now more popular than ever, will share space with the PSP and the PlayStation 3.""\n-Sony\'s Ryan Bowling\n\nXbox 360 is a great console and with Xbox Live their is no way that the 360 will be Dreamcasted with their earley release.\n\nSo pretty much I think it all falls down to the on-line play.\n\nA recent article from PSM confirms that Sony is really making a legitimate attempt at taking on Microsoft’s Xbox Live system.\nPSM reports that you will be able to see recorded gameplay footage  which includes your achievements and in-game highlights  you will also be able to make your own video blog. This will be recorded with an Eye-Toy like device and can be shared with your friends. Your video blog will also likely support the PSP’s Eye-Toy function, allowing you to upload videos and pictures directly to your PS3.\n\nSo if this is true Xbox may have some serious competition.\n\nMe pesonaly, I think the PS3 will be the best.\n\n-------- Edit -----------\n\nNinjaPirate, rumor had it that the PS3 would be arround 610 and 730 dollars.\n\nSony has now released a statement saying that it would be arround $500, and with the high-definition and Blu-ray disc functionality that would be a good price.\n\nThey jumped on this rumor fast so their may not be as much truth to it as we think.\nThat was a good point NinjaPirate.', ""I'm sure you knew when you posted this that we will not know untill the PS3 is out. Sony will have to really throw some bombs at E3 this year, last years E3 left me a little disapointed. This is what they have to say this year.  'We have always said that the PlayStation 3 will be playable at this year's E3 and that hasn't changed'  'We have a three platform showing this year and of course the PlayStation 2, which is now more popular than ever, will share space with the PSP and the PlayStation 3.' -Sony's Ryan Bowling Xbox 360 is a great console and with Xbox Live their is no way that the 360 will be Dreamcasted with their earley release. So pretty much I think it all falls down to the on-line play. A recent article from PSM confirms that Sony is really making a legitimate attempt at taking on Microsoft’s Xbox Live system. PSM reports that you will be able to see recorded gameplay footage  which includes your achievements and in-game highlights  you will also be able to make your own video blog. This will be recorded with an Eye-Toy like device and can be shared with your friends. Your video blog will also likely support the PSP’s Eye-Toy function, allowing you to upload videos and pictures directly to your PS3. So if this is true Xbox may have some serious competition. Me pesonaly, I think the PS3 will be the best. -------- Edit ----------- NinjaPirate, rumor had it that the PS3 would be arround 610 and 730 dollars. Sony has now released a statement saying that it would be arround $500, and with the high-definition and Blu-ray disc functionality that would be a good price. They jumped on this rumor fast so their may not be as much truth to it as we think. That was a good point NinjaPirate."", 'PS3 rules ,', 'well 1st of all ps3 isnt out yet so they can be hardly compared, but ps3 is gonna be pretty pricey and taking a huge gamble using the blu-ray.. the graphics are gonna be just about the same.. so id say get a 360 but thats just me.', 'PS3..is has more memory... but i hope there is good online gameplay...', 'PS3', '360 is a great console right now and it got great dodge colors to it. Im loving the colors and lights effect. But the sony ps3 is not even out yet, but hear great games are going to come out for^ps3. and it only seems like there are only sport games that comes out for 360 and actions games for ps3. But i would prefer ps3 cause im a fan of sony.', ""the ps3 has a disk that hold 3 times more media than a dvd, but it will become obsoleate in about a year because dvds are soon to be even bigger than the ps3's disks oh and the ps3 will put a knotch in the disk you buy for it so you cant play it in other systems... those sick bastards....  The xbox is great i had one, the only thing wrong with it is they are still working on the kinks so wait another couple of months by an xbox the games have beautifull grafics.."", 'PS3 because good things come to those who wait', 'the 360 will be way betterthan ps3 sales wise because the day the ps3 comes out microsoft will launch the next halo... AND WE ALL KNOW THAT HALO TOTAL ROCKS', ""Here's what i would do. Buy both! then you get everthing. but i'm rich and buy anything i want. hahahahahahahahahahahahahahahahahahahahahahaha......ha!"", 'The choice is yours. if i were you i will chose ps3 as im am a playstation fan.', ""Sony has taken some hits over the past couple of years, revenue-wise. I think it needs to be careful not to price itself out of the market with the PS3. I'd like to see them succeed, because honestly it's probably going to be the superior platform."", 'xbox360 i think has way better graphics.it also has exchanghable faceplates.it also has removeable harddrives,everyone gets there own memory,i know i have one.they are awsome.u should get one.', 'Ps3 because XBOX 360 suck', ""The PS3 is way better. The X-Box 360 was released earlier than the PS3 because if you bought an X-Box 360, you wouldn't need a PS3. Take my advice, and choose the PS3.""]",We can't recognize objects for comparision,We can't recognize objects for comparision,We can't recognize objects for comparision
microsoft,sony,which has the best video games? NINTENDO? MICROSOFT or SONY?,Sony.,"['Sony.', 'Sony.', 'Sony all the way!!!', ""I'm all for Nintendo."", 'microsoft, these are the only games out of the three that you chose that i have owned. but really none of them are any good.', 'Electronic Arts is better than all 3. But Halo, by Microsoft, is pretty cool.', ""Well, it depends... what kind of games do you like? Check out the library that Microsoft and Nintendo and Sony have to offer for their systems and you'll see it's really different. Microsoft excels in online play games, Nintendo excels in franchise and character games... Sony has a lot of great RPGS and other well rounded offerings... what do you want to play? Answering that is the first step to finding the system best for you..."", 'sony has most of the games the other companys have but have other 3rd party producers that throw in new games that make it have better games', 'Absolutely SONY. They had plenty of wonderful games. Believe it~', 'SONY ALLLL THE WAY, the gameplay and story make a game and not graphics, sony has proven that over and over again with the PS 1 and now with the PS2, graphics dont matter that much, the concept of the game matters most cause its whats going to keep you playing the game, if the story sucked but the graphics were good youd get bored right?', 'sony hands down', 'SONY!!!! PS3 !! WOOOHOOOO!!!', 'I assume you mean consoles, and here is my opinion: Nintendo has different games which you often will not be able to have on other consoles (e.g. the Revolution have a  Microsoft have powerful games, because they have a more powerful console. Sony? Personally I think there is nothing amazing about Sony.']","The sony is better than microsoft. The reason are greater and smarter.  The kudu is smarter than microsoft. The reason are the kudu is bigger and better.  The kudu is better for its price.A good game.  A good game made with people who understand the game.  A good game made with people who understand the game.  A good game made with people who understand the game.  A good game made with people who understand the game.  A good game made with people who understand the game.  A good game made with people who understand the game.If you're a big fan of a game - do you know how many people are trying to get it?  You can find out with the numbers below.  You might be thinking, ""What if I'm playing a lot of games in the space of a month?  What if I'm playing a lot of games in the space of a year?""  Well, that's","The sony is better than microsoft. The reason are greater and smarter. Which is one of the areas that Sony is better than Microsoft. Apparently, talks with Sony are going better than those with Microsoft. In my opinion, Sony has had better customer support than Microsoft. As well, the catalog of Sony ""Only"" games is far better than Microsoft. I don't think the point here is to say Microsoft is worse than Sony or Nintendo cause Microsoft is not.
Microsoft also has a better Day One lineup than Sony does. Microsoft: Our first party games are superior to Sony and Nintendo's . Worse even than Microsoft WMA (Napster et al), in fact: . The fact is Microsoft has a much better (easier to use) SDK for games than Sony does. Suddenly I find myself liking Microsoft much better than Sony!","I would prefer to use sony because of greater and smarter. But i should tell you that microsoft is faster, quicker and easier."
microsoft,sony,Sony Ps3 vs Microsoft Xbox 360 vs Nintendo wii?,"No contest, the PS3 kicks the pants off of the other systems in almost every area, problem is the price kicks the pants off of the other systems too.  But it's a much better console if you can afford it.  The Blu-Ray disk player alone is worth $600, if you don't know what that is it's basically next generation DVD.  It also has a bigger hard drive than other stations and the online service is said to be as good if not better than X-box live and it's completely free.  The only real down side is that the disks are smaller storage size than X-box disks, but they can still hold an insane amount of gaming.  If you have the money for any system, you definetely want to get the PS3.  If you are a previous X-box owner on a more modest budget, go with the 360 so you can play old games and keep a little cash in your pocket.  If you don't want to spend much or want to try something new, go with the Wii, it's definetely unique.

Oh, by the way, this is a completely unbias opinion.  I'm not a PS3 fanboy, I'm actually looking at a Wii because they're cheaper.  I'm just laying out the facts and you can decide based on your budget.  A lot of the answers before me I've noticed are by obvious fanboys, like the guy who said he's giving away his PS3 because the 360's better.  That is a COMPLETE LIE, no one is dumb enough to spend $600 ona great station and then give it away because it's not as good as another, unless he's some kind of retard or like Bill Gates son.  My suggestion, go to unbias websites and look at the facts and decide for yourself.  If you ask the public you'll get hundreds of vengeful fanboys trying to get you on their side.  Have fun.","[""No contest, the PS3 kicks the pants off of the other systems in almost every area, problem is the price kicks the pants off of the other systems too.  But it's a much better console if you can afford it.  The Blu-Ray disk player alone is worth $600, if you don't know what that is it's basically next generation DVD.  It also has a bigger hard drive than other stations and the online service is said to be as good if not better than X-box live and it's completely free.  The only real down side is that the disks are smaller storage size than X-box disks, but they can still hold an insane amount of gaming.  If you have the money for any system, you definetely want to get the PS3.  If you are a previous X-box owner on a more modest budget, go with the 360 so you can play old games and keep a little cash in your pocket.  If you don't want to spend much or want to try something new, go with the Wii, it's definetely unique.\n\nOh, by the way, this is a completely unbias opinion.  I'm not a PS3 fanboy, I'm actually looking at a Wii because they're cheaper.  I'm just laying out the facts and you can decide based on your budget.  A lot of the answers before me I've noticed are by obvious fanboys, like the guy who said he's giving away his PS3 because the 360's better.  That is a COMPLETE LIE, no one is dumb enough to spend $600 ona great station and then give it away because it's not as good as another, unless he's some kind of retard or like Bill Gates son.  My suggestion, go to unbias websites and look at the facts and decide for yourself.  If you ask the public you'll get hundreds of vengeful fanboys trying to get you on their side.  Have fun."", 'wii or 360  personally Wii!!!!! (I own a wii and they rock!!)', 'the ps3 has a good launch title. the game resistance:fall of man is one of the best games out there and the online play in unmatched in my openion. I would say the ps3 its going to last the longest so when the next gen comes out ps3 will still be a good one so u dont need to by a new one. the blu-ray is a plus. 40 players online play best of all its free. bet it going to have a lot of games like the ps1 and the ps2 did. controler is kool but wii is better but the wii had be braking alot of tvs. if u want to get one i would wait a little so see which is the best.', ""No contest, the PS3 kicks the pants off of the other systems in almost every area, problem is the price kicks the pants off of the other systems too.  But it's a much better console if you can afford it.  The Blu-Ray disk player alone is worth $600, if you don't know what that is it's basically next generation DVD.  It also has a bigger hard drive than other stations and the online service is said to be as good if not better than X-box live and it's completely free.  The only real down side is that the disks are smaller storage size than X-box disks, but they can still hold an insane amount of gaming.  If you have the money for any system, you definetely want to get the PS3.  If you are a previous X-box owner on a more modest budget, go with the 360 so you can play old games and keep a little cash in your pocket.  If you don't want to spend much or want to try something new, go with the Wii, it's definetely unique. Oh, by the way, this is a completely unbias opinion.  I'm not a PS3 fanboy, I'm actually looking at a Wii because they're cheaper.  I'm just laying out the facts and you can decide based on your budget.  A lot of the answers before me I've noticed are by obvious fanboys, like the guy who said he's giving away his PS3 because the 360's better.  That is a COMPLETE LIE, no one is dumb enough to spend $600 ona great station and then give it away because it's not as good as another, unless he's some kind of retard or like Bill Gates son.  My suggestion, go to unbias websites and look at the facts and decide for yourself.  If you ask the public you'll get hundreds of vengeful fanboys trying to get you on their side.  Have fun."", 'XBOX 360. I have a xbox 360 and a ps3 an i am intending to give the ps3 aways since it is not as good as the 360. The wii is kind of ridiculous in my opinion. who wants to constantly move their hands?', 'ps3', 'none, they are all sold out everywhere (crying)', 'Hi The games of ps3 cost too much, the xbox360 too and if I could chose I will chose Nitendo wii. It depends on wich one you like!!!', ""I pick Playstion 3.I think the graphics a better than Wii and Xbox 360.But I think Xbox 360 will win for 'now'.Who knows? PS3 might win 'later on'."", 'Tha 360 is the PWNZORZ Basically I pick the 360 it is the best comsole I have ever owned, and the Ps3 well it has no good launch titles and the Wii well its not for the online gamer so I pick the Xbox 360.', 'The wii is fun because you get into the game.']","The microsoft is better than wii. The reason are greater, faster and simpler.  The controller is made from a 1.2mm thick foam, which is much thicker and more flexible than wii ball.  This is a good thing for the user because it means that the microsoft will give you a better experience with the controller.  This is the reason that the microsoft has been running its own 3D controller.  The 3D controller is so much more powerful than the wii controller that it is so much better.  There are three main ways to achieve this.  1) If you don't have a wii. 2) If you want to play wii.  3) If you want to play wii.  The only way to play wii is to buy a wii ball.1.  The wii ball.If you don't have a wii ball, you can buy wii ball as a freebie or you can buy a wii ball (or you","The microsoft is better than wii. The reason are greater, faster and simpler. Microsoft said consumers spent a greater amount of money on Xbox 360 than the PS3 and Wii combined. Microsoft is doing a better job selling Wii U than Nintendo is. Yes it was a flop in terms of Core games but was better than Move and Wii Mote for games like this. Killer Instinct is shaping up to have better motion controls than Guilty Gear Accent Core on the Wii! Much better than the Netflix interface on the Xbox 360 or the wii.
I will be laughing so hard when Xbox One bombs and does even worse than Wii U . So yeah, mark my words, Microsoft, nor Sony are going to do that much better if any than Nintendo Wii U. . Wii U is virtually guaranteed to be easier to develop for than forthcoming Sony and Microsoft machines! Nintendo president Satoru Iwata has promised that the Wii U will be much better equipped to keep pace with Microsoft and Sony's next consoles. It might even be worse than ""Wii U,"" though I doubt there will be the same level of confusion around this.","Looks like microsoft is better, because of greater, faster and simpler. But it will be useful for you to know that wii is easier, easier to develop for and older."
microsoft,sony,What is worth buying  the Sony PS3 or the Microsoft XBOX 360?????????,"At this moment, I'd say the Xbox 360 is the one to go with. There are more games released for this system, it's been out for a while,  and it's just much less expensive. The PS3 is more expensive, has less games, it was just released, and it's sold out almost everywhere. However, someday in the future, the PS3 may become a better deal when prices drop and more games are released. Time will tell. 
If you feel like you need to get a system now, get an Xbox 360 or Wii.","[""At this moment, I'd say the Xbox 360 is the one to go with. There are more games released for this system, it's been out for a while,  and it's just much less expensive. The PS3 is more expensive, has less games, it was just released, and it's sold out almost everywhere. However, someday in the future, the PS3 may become a better deal when prices drop and more games are released. Time will tell. \nIf you feel like you need to get a system now, get an Xbox 360 or Wii."", 'vbcvbc', 'If you give it some time the PS3 will be.The graphics and memory have xbox beat by a long shot. Since the PS3 is all new they have been showig some minor glitches which Sony should be able to work out in a few months. Whereas the xbox has been out a year or two and the bugs are gone.', 'i dunno its up to you, ps3 are very expensive although for 200 dollars less you can get pretty much the same deal with the xbox 360 so its up to you', ""At this moment, I'd say the Xbox 360 is the one to go with. There are more games released for this system, it's been out for a while,  and it's just much less expensive. The PS3 is more expensive, has less games, it was just released, and it's sold out almost everywhere. However, someday in the future, the PS3 may become a better deal when prices drop and more games are released. Time will tell.  If you feel like you need to get a system now, get an Xbox 360 or Wii."", 'The ps3 of course']","ps3 has undeniable advantages. They are easier, easier to use and lighter.","ps3 has undeniable advantages. They are easier, easier to use and lighter.","ps3 has undeniable advantages. They are easier, easier to use and lighter."
microsoft,sony,"If Sony Vs Microsoft, who will win? Thanks.?",Bill gate.,"['Bill gate.', 'Microsoft, always', ""Microsoft, Sony isn't what it used to be. Plus Microsoft is not a hardware based company, they deal in intellecutal property.  Everything they do is virtual, Sony has to actually make it!"", 'what do u mean? games (ps3 vs 360)?  Graphic: ps3 Price: 360 Design (in my opinion): ps3', 'who cares nintendos wii is gonna blow the ps2 nd 360 away', 'Bill gate.', 'well at first when the ps3 is gonna come out it wont do so well because of price and there not making that many. so xbox will win first but as the years go on ps3 will blow xbox away. and the Wii is gonna beat xbox and ps3 in the first couple years. Wii=first Xbox=second Ps3=3rd', ""Sony. Who cares about the PS3 delay? It has blu-ray and can carry heaps more graphics than XBOX. Besides the gaming consoles, there's heaps more electronic stuff you can put in your house but Microsoft."", 'overall:microsoft games:sony everything else:microsoft', ""SONY. I am so excited about the PS3! I don't think i'll get one(it cost 600 dollars!!!) but who knows. I heard the XBOX360 wasn't so great. I hope the PS3 isn't all hype. Check out G4, it's a cable channel about video games. i think. they show other stuff too. On friday, they'll be talking about the PS3. The XBOX360 wins price-wise, but overall, sony's better.""]",We can't recognize objects for comparision,We can't recognize objects for comparision,We can't recognize objects for comparision
mouse,rat,Whats the difference between Rat and mouse?,"Rat - rodents differing from the related mice by considerably larger size and by structural details (as of the teeth)

Mouse - smaller and cuter","['Rat - rodents differing from the related mice by considerably larger size and by structural details (as of the teeth)\n\nMouse - smaller and cuter', 'Rat - rodents differing from the related mice by considerably larger size and by structural details (as of the teeth) Mouse - smaller and cuter', 'Rats and mice are two different kinds of animals.  However, they are both rodents.  Rats are usually bigger than mice.', 'A mouse is a small version of a rat.', 'A rat is a bigger much older mouse.', 'http://en.wikipedia.org/wiki/Mouse http://en.wikipedia.org/wiki/Rat', 'Rats are cute, smart, and larger than mice. Mice are not very intelligent, but still sweet, small creatures that resemble rats.']","The rat is better than mouse. The reason are greater and easier.  But the rat is much more dangerous than the mouse.  The rats need to be trained to see.  The rat needs to be trained to eat.  The rat needs to be trained to eat.  It's not a good fit.  The rat has to be trained to think.  It has to be trained to make decisions.  The rat has to be trained to think.  It has to be trained to make choices.  It has to be trained to be creative.  The rat has to be trained to be creative.  It has to be trained to be innovative.  To be innovative, the rat needs to be creative.  To be innovative, the rat needs to be creative.  The rat needs to be creative.  The rat needs to be creative.  But the rat will grow even more creative.<|endoftext|>The New York Police Department will conduct a criminal investigation of a","The rat is better than mouse. The reason are greater and easier. Fewer total small-diameter neurons from rat responded to CINN, but the responsive neurons in rat had greater response amplitudes than those from mouse ( Figs. 5A, B ). Fewer total small-diameter neurons from rat responded to CINN, but the responsive neurons in rat had greater response amplitudes than those from mouse (Figs. 5A, B). However, under nonreducing and reducing conditions, mouse perforin had a slower mobility than human and rat perforin expressed in both cells. Th e rat is highly suitable for seeking a better understanding of human genetics and biology because the rat in many ways better resembles human pathology, physiology, neurology, and cancer biology than other popular animal models, such as the mouse. Recombinant rat CYP2E1 exhibited greater affinity and catalytic efficiency for DCE metabolism than did recombinant human CYP2E1, mouse CYP2F2, goat CYP2F3 or rat CYP2F4.
At the year point it stopped working completely and I went back to my Logitech MX518 which I believe works better than the RAT did. These results indicate that the sandwich-cultured primary mouse hepatocyte system is robust and seems to maintain its metabolic competence better than that of the rat hepatocyte system... . Feature: Eco-Friendly Place of Origin: Fujian China (Mainland) Brand Name: TNL Color: Black Material: ABS mouse trap  mechanical trap 1)A state-of-the-art mechanical trap that offers superior rat capture.2)Interlocking teeth make rat escap...... A combination of mouse and guinea pig transcriptomes was used because the annotation of the mouse genome is better than that of the guinea pig while the guinea pig genome is more similar to that of the naked mole-rat. Finally, the mouse appeared to be a better animal model than the rat for exploring the intestinal absorption and pharmacokinetics of peptides and peptide-like drugs in human... .","Looks like rat is better, because of greater and easier. But i should tell you that mouse is faster and quicker."
